Question,Answer,Class
"Where a Bank takes a separate registration for a separate business vertical, say for Bullion business, whether the requirement for reversal of 50 percent will also apply to bullion purchased by the Bank","In terms of Section 2(94) read with Section 25(4)&(5) of the CGST Act, 2017, a person required to obtain more than one registration within a State or more than one State shall be treated as a distinct person for each such registration. Section 17(4) of the CGST Act, 2017 is applicable qua each registration and not for the Bank as a whole, provided each of the business verticals is separately registered. Therefore, a bank engaged in trading in bullion may not opt for 50 percent reversal in respect of its purchases of bullion, where it is separately registered as a business vertical",business
"Where there is a supply of goods or services between registered branches of a banking company on which GST is paid, will the recipient branch/office be eligible for 100% credit of the GST charged on such supply where the bank elects the 50% option to avail input tax credit on inputs, capital goods and input services","Yes, the recipient branch / office will be eligible for 100% credit. The second proviso to section 17(4) of the CGST Act, 2017, expressly provides that the restriction of 50% shall not apply to the tax paid on supplies made by one registered person to another registered person having the same Permanent Account Number",credits
"Whether for the services received from a related person / distinct person outside India, the recipient of services would be eligible for full input tax credit","In terms of the second proviso to section 17(4) of the CGST Act, 2017, the restriction of reversal of 50% credit would not apply to the tax paid on supplies made by one registered person to another registered person having the same PAN. The non-applicability of 50% reversal is only to the extent of inter-branch services between registered branches having the same PAN in India. Thus, tax paid on services received from a related person / distinct person located outside India would be liable to 50% reversal",services
Whether the provision of section 18(6) for reversal of input tax credit availed on capital goods be applicable to banks only to the extent of the input tax credit availed,"Yes. The provisions of section 18(6) of the CGST Act, 2017 for reversal of input tax credit availed on capital goods would be applicable to banks only to the extent of the input tax credit availed by it. In case the Bank opts to avail input tax credit to the extent of 50% in terms of the second proviso to Section 17(4) of the CGST Act, 2017, reversal of credit would be in proportion to the actual credit availed by the Bank i.e. only with reference to 50% of the input tax credit availed by it on capital goods",credits
Can a Bank / insurer defer the availment of input tax credit for a month or quarter and avail of the same in subsequent months?,"Yes. As per section 16(4) of the CGST Act, 2017, availment of input tax credit can be deferred and availed upto the due date of furnishing of return for the month of September following the end of financial year to which relevant invoice or invoice relating to such debit note pertains or furnishing of the relevant annual return, whichever is earlier",credits
Which address should be considered for determining the ‘place of supply’ in the case of banking / insurance services,"As per Section 12(12) of the IGST Act, 2017, the place of supply of banking and other financial services, including stock broking services to any person shall be the location of the recipient of services on the records of the supplier of services. Address available on the records of the Bank or Financial Institution or stock broker, which is ordinarily used for communication with the customer, may be considered as the ‘Place of Supply’. As per Section 12(13) of the IGST Act, 2017 the place of supply of insurance services shall be the location of registered person if services are provided to a registered person and the location of the recipient of services on the records of the supplier of services if services are provided to an unregistered person. Address available on records of the insurance company, which is ordinarily used for communication with the customer, may be considered as the ‘Place of Supply’",services
"With respect to registered customers, whether the Bank / insurance company is required to ascertain the place of consumption of service or whether the Bank can rely upon the GSTIN provided by the Customer",The Bank / insurance company can rely upon the GSTIN provided by the customer.,services
Would intermediary services provided to an offshore client and services provided by a banking company to its offshore account holders be treated as an intra-State supply or an inter-State supply for payment of GST,"Under clause (b) of section 13(8) of the IGST Act, 2017 the place of supply of such services is the location of the provider of services. As the location of supplier and place of supply are in same State, such supplies will be treated as intra-State supply and Central tax and State tax or Union territory tax, as the case may be, will be payable",services
Who is the ‘supplier’ of service of purchase or sale of foreign currency,"The ‘supplier’ of service of purchase or sale of foreign currency is the Authorised Dealer or authorized moneychangers who are getting the commission. For example, in case of a purchase or sale of foreign currency between a Bank and a Corporate, the bank is the ‘supplier’ of the service",services
Would services provided by banks to RBI be also taxable,"Yes. Services provided by banks to RBI would be taxable as these are not covered by any of the exemptions or excluded from the purview of GST under the CGST Act, 2017 or under the IGST Act, 2017",services
"Whether a Bank / insurer is required to charge GST on the taxable services provided to United Nations or a specified international organization or, services provided for official use of a foreign diplomatic mission or consular post in India or for personal use or for the use of the family members of diplomatic agents or career consular officers posted therein","Yes, the bank / insurer is required to charge GST in such cases. However, as per section 55 of the CGST Act, 2017, subject to such conditions and restrictions as may be prescribed, such service recipients would be entitled to claim a refund of taxes paid on the notified supplies of services received by them",services
Who is liable to comply with GST on charges levied by Overseas Correspondent Banks facilitating trade and other cross border transactions,"In this case, there are two supplies namely, from bank in India to the importer/exporter and one from the overseas correspondent banks to the bank in India. So the liability to discharge GST on such supplies will be required to be determined accordingly",credits
"Will the second proviso to Rule 28 apply in the case of a banking company that selects the 50% option to avail input tax credit set out in section 17(4) of the CGST Act, 2017?","The second proviso to Rule 28 of the CGST Rules, 2017 states that where the recipient is eligible for full input tax credit, the value as declared in the Invoice shall be deemed to be the Open Market Value of the goods or services. In view of the second proviso to section 17(4) of CGST Act, 2017, Banks claiming input tax credit under the 50% option will be covered under the scope of the second proviso to Rule 28 relating to valuation, where services are provided between the branches of the bank",credits
Are services supplied without consideration to a recipient other than ‘related party’ / ‘distinct person’ taxable,"Section 7 of the CGST Act, 2017 read with Schedule I thereto provides that services supplied without consideration to related persons or distinct persons only would qualify as ‘supply’. Also import of services by bank from a related person or from any of its establishments outside India in the course or furtherance of business will be supply even if imported without consideration. Therefore, where the services are supplied by a supplier without consideration to an unrelated recipient or a person other than a related or distinct person, the same would not amount to supply and not liable to GST.",services
Can value of services be enhanced by invoking the CGST Rules in case of services provided by banks at a concessional / differential rate to a recipient other than ‘related party’ / ‘distinct person’,"Banks provide various services to customers for a charge. However, at times, account holders / customers are provided services free or at a concessional / differential rate. The free or concessional / differential rate is offered considering factors such as credit rating and stability of the customer, size of relationship, expected future business or the opportunity presented in the market elsewhere etc. As a result, the charges for the same service may differ from customer to customer. Such services provided to persons who are not related persons will be taxable on the transaction value, that is, the value of the services charged or recovered from the customers or account holders as per section 15 of the CGST Act, 2017. Thus, in case of services provided at a concessional / differential rate to a recipient other than ‘related party’ / ‘distinct person’, there is no requirement for enhancing the value of services by invoking the CGST Rules, 2017.",services
"In the case of Banks which are not availing the reversal of ITC at 50%, how should inter-branch services be valued where open market value of services of like kind and quality is not available?","In such cases, banks can adopt any reasonable basis consistent with Rule 30 and 31 of the CGST Rules, 2017",services
"Whether a ‘derivative’ is included within the meaning of ‘securities’ in Section 2(101) of CGST Act, 2017 and whether derivatives are liable to GST","Section 2(101) of the CGST Act, 2017 provides that ‘securities’ shall have the same meaning as assigned to it in clause (h) of section 2 of the Securities Contracts (Regulation) Act, 1956 (SCRA). ‘Derivatives’ are included in the definition of ‘securities’ under section 2(h)(ia) of the SCRA. In terms of section 2(ac) of SCRA, “derivative” includes— (A) a security derived from a debt instrument, share, loan, whether secured or unsecured, risk instrument or contract for differences or any other form of security; (B) a contract which derives its value from the prices, or index of prices, of underlying securities. The definition of ‘derivatives’ in SCRA is an inclusive definition. As ‘derivatives’ fall in the definition of securities, they are not liable to GST. However, if some service charges or service fees or documentation fees or broking charges or such like fees or charges are charged, the same would be a consideration for provision of service and chargeable to GST",services
What is the nature of income / expenditure on Collateralized Borrowing and Lending Obligations (CBLO) transactions,"In CBLO transaction, the borrowing bank pays an amount as consideration to the lending bank for funds provided by it for a short term. Such amount would qualify as 'consideration represented by way of interest or discount' and hence, would not be subject to GST [serial no. 27 of the table of notification No. 12/2017-Central Tax (Rate) dated 28th June, 2017, as amended]. However, if any charges or fees are levied for such transactions, the same would be a consideration and would be chargeable to GST",transactions
Would ‘future contracts’ be chargeable to GST,"Future contracts are in the nature of financial derivatives, the price of which is dependent on the value of underlying stocks or index of stocks or certain approved currencies and the settlement happens normally by way of net settlement with no actual delivery. Since future contracts are in the nature of derivatives these qualify as ‘securities’ as defined in Section 2(101) of the CGST Act, 2017. As securities are neither ‘goods’ nor ‘services’ as defined in the CGST Act, 2017, future contracts are not chargeable to GST. But where the future contracts have a delivery option and the settlement of contract takes place by way of actual delivery of underlying commodity/currency, then such forward contracts would be treated as normal supply of goods and liable to GST. Further, if some service charges or service fees or documentation fees or broking charges or such like fees or charges are charged, the same would be a consideration for supply of service and chargeable to GST",credits
Would forward contracts in commodities or currencies be within the ambit of definition of ‘supply’,"A forward contract is an agreement, executed, to purchase or sell a predetermined amount of a commodity or currency at a pre-determined future date at a pre-determined price. The settlement could be by way of actual delivery of underlying commodity/currency or by way of net settlement of differential of the forward rate over the prevailing market rate on the settlement date. Where the settlement takes place by way of actual delivery of underlying commodity/currency, then such forward contracts would be treated as normal supply of goods and liable to GST. Where the settlement takes place by way of net settlement of differential of the forward rate over the prevailing market rate on the settlement date, the same would be falling within the purview of ‘securities’ as defined in Section 2(101) of the CGST Act, 2017. As securities are neither ‘goods’ nor ‘services’ as defined in the CGST Act, 2017, future contracts are not chargeable to GST. However, if some service charges or service fees or documentation fees or broking charges or such like fees or charges are charged, the same would be a consideration for supply of service and chargeable to GST",services
What is the nature of income earned / expended in instruments like repos and reverse repos and is such income taxable under GST?,"Section 45U(c) of the RBI Act, 1934 defines ‘repos’ as an instrument for borrowing funds by selling securities with an agreement to repurchase the securities on a mutually agreed future date at an agreed price which includes interest for the funds borrowed. Section 45U (d) of the RBI Act, 1934 defines ‘reverse repos’ as an instrument for lending funds by buying securities with an agreement to re-sell the securities on a mutually agreed future date at an agreed price which includes interest for the funds lent. Repos and reverse repos are financial instruments of short term call money market that are normally used by banks to borrow from or lend money to RBI. The margins, called the repo rate or reverse repo rate, in such transactions are nothing but interest charged for lending or borrowing of money. Thus they have the characteristics of loans and deposits for interest and are accordingly exempt from GST [serial no. 27 of the table of notification No. 12/2017-Central Tax (Rate) dated 28th June, 2017, as amended]",credits
Would income from Commercial Paper (CP) or Certificates of Deposit (CD) be taxable under GST,"Commercial Paper (‘CP’) and Certificate of Deposit (‘CD’) are unsecured money market instruments which are issued in the form of a promissory note or in a dematerialized form through any of the depositories approved by and registered with SEBI. CPs are normally issued by highly rated companies, primary dealers and financial institutions at a discount to the face value. CDs can be issued by Scheduled Commercial Banks (excluding Regional Rural Banks and Local Area Banks) and All – India Financial Institutions (FIs) permitted by RBI. Since these are instruments for lending or borrowing money wherein consideration is represented by way of a discount or subscription to CPs or CDs, the same would be covered by the entry relating to ‘services by way of extending deposits, loans or advances in so far as consideration is represented by way of interest or discount’ and is not liable to GST [serial no. 27 of the table of notification No. 12/2017-Central Tax (Rate) dated 28th June, 2017, as amended]. Further, promissory note is included in the definition of ‘money’ as given in clause (75) of Section 2 of the CGST Act, 2017 and hence not liable to GST. However, if some service charges or service fees or documentation fees or broking charges or such like fees or charges are charged, the same would be a consideration for supply of services and chargeable to GST",credits
Whether assignment or sale of secured or unsecured debts is liable to GST,"Section 2(52) of the CGST Act, 2017 defines ‘goods’ to mean every kind of movable property other than money and securities but includes actionable claim. Schedule III of the CGST Act, 2017 lists activities or transactions which shall be treated neither as a supply of goods nor a supply of services and actionable claims other than lottery, betting and gambling are included in the said Schedule. Thus, only actionable claims in respect of lottery, betting and gambling would be taxable under GST. Further, where sale, transfer or assignment of debts falls within the purview of actionable claims, the same would not be subject to GST Further, any charges collected in the course of transfer or assignment of a debt would be chargeable to GST, being in the nature of consideration for supply of services",credits
"Would sale, purchase, acquisition or assignment of a secured debt constitute a transaction in money?","Sale, purchase, acquisition or assignment of a secured debt does not constitute a transaction in money; it is in the nature of a derivative and hence a security",transactions
"If any service charges or administrative charges or entry charges are recovered in addition to interest on a loan, advance or a deposit, would such charges be also a part of the exemption","No. The services of loans, advances or deposits are exempt in so far as the consideration is represented by way of interest or discount. Any charges or amounts collected over and above the interest or discount would represent taxable consideration and hence liable to GST",services
To what extent is invoice discounting or cheque discounting or any other similar form of discounting exempt under GST?,"Discounting of invoices or cheques falls within the meaning of “services by way of extending deposits, loans or advances in so far as the consideration is represented by way of interest or discount”. Such discounting is exempt from payment of GST, as such discounting is nothing but a manner of extending a credit facility or a loan. However, if some service charges or service fees or documentation fees or broking charges or such like fees or charges are charged, the same would be a consideration for supply of service and chargeable to GST",services
Is interest on debt instruments exempt from GST,"Yes. As debt instruments such as debentures, bonds etc. are in the nature of loans, interest thereon will be exempt from GST",credits
Is GST required to be paid on additional interest charged in case of default in instalment payment by the customer,"As per Section 15(2) of CGST Act, 2017, the value of supply includes, inter alia, interest for delayed payment of any consideration for any supply. Additional Interest charged for default in payment of instalment in respect of any supply, which is subject to GST, will be includible in the value of such supply and therefore would be liable to GST.",credits
Would charges for late payment of dues on credit card outstanding be chargeable to GST,"Yes. The exemption from levy of GST on interest specifically excludes interest charged on outstanding credit card balances as per serial no. 27 of the table of notification No. 12/2017-Central Tax (Rate) dated 28th June, 2017, as amended",credits
Whether interest on a finance lease transaction is taxable under GST?,"A finance lease is a method of borrowing against the asset. The interest represents the time value of the money expended by the Bank in financing the asset. Services by way of extending deposits, loans or advances in so far as the consideration is represented by way of interest or discount (other than interest involved in credit card services) is exempt. But, in a financial lease the ownership of the asset is with the bank. In essence, it is a ‘purchase the asset and lend it further’ transaction for bank. Therefore, neither the services are purely in the nature of extending loans nor the consideration for a financial lease is purely in the nature of interest. Thus, interest on finance lease transactions will be taxable under GST",transactions
"Where GST is charged on a supply of service and the amounts due from the customer become irrecoverable as a bad debt in commercial practice, would such GST paid on accrual basis be refundable to the service provider by the Government","The adjustment of GST already paid is allowed only by way of issuance of credit /debit note in terms of Section 34 of the CGST Act, 2017. The proviso to section 34(2) of the CGST Act, 2017 provides that no reduction in liability would be allowed if the incidence of tax has been passed on to another person. If bad debts are on account of deficiency in supply of services, or tax charged being greater than actual tax liability, or goods returned, GST paid on the same is refundable subject to fulfilment of the prescribed conditions. Therefore, GST already paid on bad debts, as used in the trade parlance, cannot be adjusted",services
"Would imposition of a fine or penalty for violation of a provision of law be a consideration for the activity of breaking the law, making such activity as service","No. Fines and penalties are imposed for breaking the law by a person. They are not in the nature of a consideration for an activity and hence, would not constitute a supply of service",services
"Which services will qualify as services provided to ‘account holder’ as per Section 13(8) of the IGST Act, 2017?","The place of supply of services supplied by a banking company located in India to account holders located outside India is the location of the service provider i.e. banking company. “Account” has been defined in Explanation (a) to section 13(8) of the IGST Act, 2017 to mean an account which bears interest to the depositor, and includes a non-resident external (NRE) account and a non-resident ordinary (NRO) account. Services provided to holders of demand deposits, term deposits, NRE account and NRO account outside India will be covered by the definition of account referred to above. Examples of such services are: (i) services linked to or requiring opening and operation of bank accounts, such as, lending and deposits; (ii) transfer of money including telegraphic transfer, mail transfer, electronic transfer etc",services
"Which services do not qualify as services provided to ‘account holder’ as per Section 13(8) of the IGST Act, 2017 and thus the place of supply will be the location of the recipient of services","Following are examples of services that are generally not provided by a banking company or financial institution to an account holder (holder of a deposit account bearing interest to the depositor including NRE and NRO account holders) in the ordinary course of business: (i) financial leasing services including equipment leasing and hire-purchase; (ii) merchant banking services; (iii) securities and foreign exchange (forex) broking, and purchase or sale of foreign currency, including money changing; (iv) asset management including portfolio management, all forms of fund management, pension fund management, custodial, depository and trust services; (v) advisory and other auxiliary financial services including investment and portfolio research and advice, advice on mergers and acquisitions and advice on corporate restructuring and strategy; (vi) banker to an issue service. In case of any service which does not qualify as service provided to an account holder, the place of supply for such services shall be the location of the recipient of services",services
What is the location of the supplier in case of banking and other financial services where multiple locations are involved in providing the services to a customer,"Banking services emanate from the bank account opened by a customer with the branch of a bank or through a contractual relationship between the branch of a bank and the customer. The branch holding the customer’s account is referred to as the ‘Account Branch’ or the ‘Home Branch’. An account would include all types of accounts – viz. interest bearing, non- interest bearing, loan account, deposit account, etc. In the present day of “anywhere banking”, the customer avails banking services through mobile/ internet banking or by visiting any branch of the bank. At times the services are provided through branches / locations other than the ‘Account Branch’ or the ‘Home Branch’. It is clarified that the services provided by the other branches are actually services provided to the ‘Home branch’ and are ultimately billed to the home branch. Thus, the location of supplier in such cases is the Home Branch/Account Branch.",services
What is the manner of dealing with various services provided by banks and other financial institutions,"Banks and financial institutions provide a bouquet of financial services relating to lending or borrowing of money or investments in money and other related services. For such services invariably a variety of instruments are used in the financial markets. Transactions in such instruments have to be examined on the touchstone of definition of ‘supply’ given in Section 7(1) of the CGST Act, 2017 to see whether such transactions would be chargeable to GST. Broadly, the following legal provisions would have a bearing on determining the taxability of such transactions. The definition of ‘goods’ and ‘services’ in Section 2(52) and Section 2(102) of the CGST Act, 2017 specifically excludes money and securities respectively. ‘Money’ has been defined in Section 2(75) of the CGST Act, 2017 to include instruments like cheques, drafts, pay orders, promissory notes, letters of credit, etc. Therefore, activities that are only transactions in such instruments would be outside the definition of service. This would include transactions in Commercial Paper (‘CP’) and Certificate of Deposit (‘CD’) (as they are in the nature of promissory notes), issuance of drafts or letters of credit, etc. While these transactions would be outside the ambit of supply, the related activity, for which a separate consideration is charged, would be chargeable to GST if other elements of taxability are present. Therefore, GST would be levied on service charges normally charged for various transactions in money including charges for making drafts, issuance charges for letter of credit etc. Definition of ‘securities’ includes ‘derivatives’. Transactions in instruments like interest rate swaps, and foreign exchange swaps would be excluded from the definition of ‘supply’ since such instruments are derivatives, being securities, based on contracts of difference. However, any attendant service charges or fees would be chargeable to GST. Further, services by way of extending deposits, loans or advances in so far as the consideration is represented by way of interest or discount is exempt from the levy of GST",services
"Are services supplied by a Bank to its branch / head-office outside India, which are neither intermediary services nor services to account holders, taxable under GST","GST is a destination based consumption tax. Such services provided by a Bank or the branch of a foreign Bank in India to its offshore branch / head-office, which are neither intermediary services nor services to account holders, are inter-State supply of services between distinct establishments (as per section 7(5)(a) read with Explanation to section 8 of the IGST Act, 2017), and will be taxable in India, as the location of the supplier is in India and the place of supply is outside India. Such services will not be treated as exports in view of the sub-clause (v) of section 2(6) of the IGST Act, 2017 read with Explanation 1 to section 8 of the IGST Act, 2017",services
"Will the management oversight or stewardship activities performed in relation to business operations by the Head Office of a Bank to a Branch in India be considered as a supply of services by the Head Office even when there is no consideration charged by the Head Office, nor any expenditure recorded in the books of account of the Branches","As per Schedule – I to the CGST Act, 2017, supply of services between distinct entities will be a taxable supply even in absence of a consideration",services
"If tax is payable on provision of management oversight or stewardship services by a related person, what shall be the value of supply when no invoice is raised, no payment is made by recipient or no entry is made in the books of accounts of the recipient of service? What will be the time of supply","As per Rule 28 of the CGST Rules, 2017, the Bank may obtain a certificate from the Branch or Office providing the estimated cost of rendering the support. It may be backed by a certificate issued by a chartered accountant or cost accountant. In such cases, the time of supply shall be the date when such costs are determined or certificate is received and the GST liability on the said costs shall be discharged accordingly. This can be done before the expiry of the quarter during which such supply was made as provided in 2nd proviso to Rule 47 of the CGST Rules, 2017. For this purpose a document may be issued by the entity supplying such services",services
"Is the Nominated Bank, receiving gold on consignment basis, required to pay IGST on import of gold from the overseas supplier","The dispatch of gold by the principal from a place outside India to the Bank in India is deemed to be a supply in terms of para 3 of Schedule I to the CGST Act, 2017. Accordingly, IGST will be payable on such import of gold by the Nominated Bank at the time of clearance of gold by the Customs.",credits
Will there be another liability for payment of GST when the gold (metal) is appropriated or drawn from the consignment stock by the Nominated Bank?,"The supply of gold (metal) is already deemed to have taken place in terms of para 3 of Schedule I of the CGST Act, 2017 when the same was despatched by the overseas supplier to the Nominated Bank. Since the supply has already taken place, there will not be another supply when the gold is drawn or appropriated by the Nominated Bank from the stock. There will, therefore, not be another levy of GST.",credits
"In the case of gold (metal) loan, whether the supply of gold (metal) to the jeweller will be deemed to take place at the time of delivery of gold (metal) or at the time when the price of gold (metal) is fixed by the jeweller","The Gold (Metal) Loan Scheme approved by the Reserve Bank of India is a means of financing. The Banks deliver gold (metal) to the jewellers who appropriate and use the same in the course of their business. The gold (metal) is seldom returned and the jeweller fixes the price of gold (metal) within the stipulated period of 180 to 270 days. Considering the nature of transaction, the supply of gold (metal) will take place on the date of delivery of gold (metal) to the jeweller. The Banks should raise the invoice at the time of delivery of gold (metal) in terms of section 12 of the CGST Act, 2017. Since the price of gold (metal) is not fixed, banks may issue an invoice wherein the value of the supply may be indicated on the basis of the metal rate in the international or domestic market. As and when the price is finally fixed by the jeweller, the Bank should issue debit or credit notes for the difference in the price as per the original invoice and the price finally fixed, along with applicable GST",credits
Whether tax is payable on interest charged by the Banks on the outstanding amount of gold (metal) loan,"The Gold (Metal) Loan Scheme is a means of financing. The jewellers can purchase gold (metal) from the Banks on outright basis on payment of the price. The gold (metal) loan only provides an option to the jeweller to avail a loan and pay for gold (metal) at a future date. For this facility, the jeweller pays interest to the Bank. The grant of loan and levy of interest is dependent on the purchase of gold, and therefore, part of the same transaction or facility; therefore the interest, which is the consideration, will not be exempt as per provisions of section 15(2)(d) of the CGST Act, 2017",credits
